system   D            wsystem.c:583  maybe_parent_dir                 [   0.00053] Also searching C:\Users\heno\documents\visual studio 2010\Projects\Scrapheap Spaceships\
display  D   display_settings.c:191  debug_display_settings           [   0.08623] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08629] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08635] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08637] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08639] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08641] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.08643] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08646] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08648] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08650] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08652] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08654] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.08656] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08658] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.08660] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08663] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08664] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08667] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08669] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08671] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08673] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08675] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08677] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08679] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08681] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08683] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08685] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08688] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08689] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08692] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08693] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08696] Single Buffer requirement not met.
